0.1	1.0631323779834e-12	1.11477568814925e-06	0.0037134714	0.5318646049	3.0892509331	6.5753276559	10.4358450684	14.4891336163	18.6581229031
0.2	1.15834265899392e-06	0.0011867822	0.0706127161	1.1608702106	4.1891160468	7.8767585139	11.8479421542	15.9724987021	20.192140728
0.3	0.0001220837	0.0124696115	0.2017295699	1.6511748729	4.927270465	8.7333553286	12.7756331707	16.9489427208	21.2048806363
0.4	0.0012751853	0.0414926784	0.3577183216	2.0610515993	5.5093943534	9.4040944077	13.5024327971	17.715611932	22.0020310916
0.5	0.0052843542	0.0873476047	0.521252004	2.4202322749	6.0036215284	9.9715373214	14.1178723365	18.3660303951	22.6796694668
0.6	0.0137996051	0.1462622717	0.6857989216	2.7446998882	6.441143226	10.4727990578	14.6620180059	18.9419889376	23.2807042455
0.7	0.0276889815	0.2147389717	0.8488831552	3.0439167401	6.8388883017	10.9278077007	15.1563277624	19.4658533701	23.8280957579
0.8	0.0471298929	0.2901562833	1.0096122286	3.3239240355	7.2070885539	11.3485239907	15.6136616447	19.9510243029	24.3356017633
0.9	0.0718864764	0.3706567678	1.1677429459	3.5888077945	7.5524089977	11.7427025148	16.0423506342	20.4061831191	24.8121369777
1	0.1015310443	0.4549364231	1.3233036969	3.8414588207	7.8794385766	12.1156651464	16.44811021	20.8372870225	25.2638207261
1.1	0.1355763478	0.5420727552	1.4764328719	4.0839971988	8.1914749099	12.4712277444	16.835038367	21.2486088973	25.6950439692
1.2	0.1735434396	0.631404034	1.6273071563	4.3180241077	8.4909698185	12.8122232819	17.2061781998	21.6433232187	26.1090704378
1.3	0.2149918461	0.7224479953	1.7761093335	4.5447787206	8.7797976938	13.1408155485	17.5638549024	22.0238569198	26.5083965901
1.4	0.2595298477	0.814847497	1.9230141738	4.7652400373	9.0594250613	13.4586966488	17.9098877612	22.3921100667	26.8949780026
1.5	0.3068150541	0.9083339566	2.0681828136	4.9801952843	9.3310220266	13.7672164321	18.2457290001	22.7496003758	27.2703776369
1.6	0.3565506993	1.0027024527	2.2117611463	5.190287227	9.5955379895	14.067470219	18.5725578478	23.0975611219	27.6358662941
1.7	0.4084804017	1.0977945222	2.3538800757	5.3960477333	9.8537545572	14.360359992	18.8913461331	23.4370094142	27.9924926759
1.8	0.462382713	1.1934860979	2.4946565772	5.5979221169	10.1063234375	14.6466381488	19.2029051776	23.7687950103	28.3411334816
1.9	0.5180660381	1.2896789243	2.634195052	5.7962871381	10.3537941588	14.926939469	19.5079200557	24.0936359843	28.6825300189
2	0.5753641449	1.3862943611	2.7725887222	5.9914645471	10.5966347331	15.2018049191	19.8069751051	24.412145291	29.0173154772
2.1	0.6341323051	1.4832688505	2.9099209514	6.1837314318	10.8352473166	15.47169968	20.1005732492	24.724850891	29.3460355917
2.2	0.694244026	1.5805505591	3.0462664438	6.3733282335	11.0699802581	15.7370270077	20.3891508548	25.0322112277	29.6691645413
