rep,A,rd,LL,dp,pval,psig
0,7,10,4.872403014341671,-0.61,0.0017983010720356019,0
1,7,10,1.1711063486871551,-0.5650000000000001,0.12591059361770607,0
2,7,10,0.006294761427303489,-0.585,0.91066241645659329,0
3,7,10,4.255644534366411,-0.415,0.0035294994610592934,0
4,7,10,1.9060060258218652,-0.535,0.050886288739886765,0
5,7,10,0.5620538125294329,-0.515,0.2890356921614291,0
6,7,10,0.7416779106065456,-0.59,0.22325021018263269,0
7,7,10,2.1425167249046404,-0.53,0.038449325993855754,0
8,7,10,2.813988018493324,-0.505,0.017676029025566642,0
9,7,10,0.5568309389311685,-0.5650000000000001,0.29128732057994289,0
10,7,10,3.9379164863008222,-0.515,0.0050099789156012875,0
11,7,10,5.490138043653008,-0.53,0.00092086710190719678,0
12,7,10,0.25103898875320574,-0.495,0.47858849715080898,0
13,7,10,0.022524767070026718,-0.54,0.8319129718595818,0
14,7,10,3.9837661433591007,-0.505,0.0047623819208304496,0
15,7,10,1.04849033573985,-0.54,0.14759033480067241,0
16,7,10,8.015432952371793,-0.515,6.2318206347722338e-05,0
17,7,10,0.750527035202772,-0.5750000000000001,0.22050924718646403,0
18,7,10,1.8105426029939478,-0.545,0.057051647354648627,0
19,7,10,4.36665993369757e-06,-0.54,0.99764207974671648,0
20,7,10,3.128400051541026,-0.5050000000000001,0.012371746845143972,0
21,7,10,2.9284178668696463,-0.56,0.015516665083056158,0
22,7,10,1.3100393399797323,-0.47,0.10551920857533281,0
23,7,10,4.145294871357639,-0.5349999999999999,0.0039851044594328977,0
24,7,10,5.4129798435664656,-0.52,0.0010008680312195706,0
25,7,10,5.5751719402155455,-0.5700000000000001,0.00084016097487449315,0
26,7,10,9.265244224835385,-0.515,1.6720810520398643e-05,0
27,7,10,1.3443269455529623,-0.515,0.1010651611183917,0
28,7,10,4.920627089771219,-0.5700000000000001,0.0017064111355969969,0
29,7,10,2.067764369775395,-0.5950000000000001,0.041991947314603206,0
